date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-06-19,2022,6,19,port1201,Singapore,Singapore,SGP,39,48,121,558207,919337
2022-06-20,2022,6,20,port1201,Singapore,Singapore,SGP,34,50,129,632385,635875
2022-06-21,2022,6,21,port1201,Singapore,Singapore,SGP,40,54,135,386242,847256
2022-06-22,2022,6,22,port1201,Singapore,Singapore,SGP,32,48,114,432882,775984
2022-06-23,2022,6,23,port1201,Singapore,Singapore,SGP,40,50,117,893808,866962
2022-06-24,2022,6,24,port1201,Singapore,Singapore,SGP,44,56,136,724640,701216
2022-06-25,2022,6,25,port1201,Singapore,Singapore,SGP,28,33,96,346377,711500
2022-06-26,2022,6,26,port1201,Singapore,Singapore,SGP,33,49,115,859494,677484
2022-06-27,2022,6,27,port1201,Singapore,Singapore,SGP,35,51,146,742898,502332
2022-06-28,2022,6,28,port1201,Singapore,Singapore,SGP,37,49,111,354784,660856
2022-06-29,2022,6,29,port1201,Singapore,Singapore,SGP,40,54,121,540941,745281
2022-06-30,2022,6,30,port1201,Singapore,Singapore,SGP,37,48,120,912765,647528
2022-07-01,2022,7,1,port1201,Singapore,Singapore,SGP,37,51,119,684028,496639
2022-07-02,2022,7,2,port1201,Singapore,Singapore,SGP,33,44,103,789136,455039
2022-07-03,2022,7,3,port1201,Singapore,Singapore,SGP,32,41,103,807686,545487
2022-07-04,2022,7,4,port1201,Singapore,Singapore,SGP,32,54,127,453416,589615
2022-07-05,2022,7,5,port1201,Singapore,Singapore,SGP,33,44,109,696285,711860
2022-07-06,2022,7,6,port1201,Singapore,Singapore,SGP,34,46,125,499574,551792
2022-07-07,2022,7,7,port1201,Singapore,Singapore,SGP,37,52,120,570308,620440
2022-07-08,2022,7,8,port1201,Singapore,Singapore,SGP,37,50,120,539261,725412
2022-07-09,2022,7,9,port1201,Singapore,Singapore,SGP,26,37,97,431741,518861
2022-07-10,2022,7,10,port1201,Singapore,Singapore,SGP,35,51,114,309434,493194
2022-07-11,2022,7,11,port1201,Singapore,Singapore,SGP,39,56,121,821125,629473
2022-07-12,2022,7,12,port1201,Singapore,Singapore,SGP,37,51,124,611817,896747
2022-07-13,2022,7,13,port1201,Singapore,Singapore,SGP,35,46,113,898860,621002
2022-07-14,2022,7,14,port1201,Singapore,Singapore,SGP,45,57,136,890120,611094
2022-07-15,2022,7,15,port1201,Singapore,Singapore,SGP,36,49,111,435527,1017868
2022-07-16,2022,7,16,port1201,Singapore,Singapore,SGP,32,46,124,520746,364639
2022-07-17,2022,7,17,port1201,Singapore,Singapore,SGP,29,43,124,438857,440496
2022-07-18,2022,7,18,port1201,Singapore,Singapore,SGP,41,55,139,922159,511744
2022-07-19,2022,7,19,port1201,Singapore,Singapore,SGP,40,51,137,453836,773433
2022-07-20,2022,7,20,port1201,Singapore,Singapore,SGP,39,50,116,442175,741971
2022-07-21,2022,7,21,port1201,Singapore,Singapore,SGP,40,52,115,618037,775870
2022-07-22,2022,7,22,port1201,Singapore,Singapore,SGP,38,50,119,1125407,559071
2022-07-23,2022,7,23,port1201,Singapore,Singapore,SGP,33,48,128,575149,918650
2022-07-24,2022,7,24,port1201,Singapore,Singapore,SGP,37,51,123,780029,551975
2022-07-25,2022,7,25,port1201,Singapore,Singapore,SGP,35,48,123,1043270,788318
2022-07-26,2022,7,26,port1201,Singapore,Singapore,SGP,34,46,109,416158,483962
2022-07-27,2022,7,27,port1201,Singapore,Singapore,SGP,34,43,113,496534,442651
2022-07-28,2022,7,28,port1201,Singapore,Singapore,SGP,46,56,142,507009,708751
2022-07-29,2022,7,29,port1201,Singapore,Singapore,SGP,43,59,121,613408,731594
2022-07-30,2022,7,30,port1201,Singapore,Singapore,SGP,37,50,114,529138,703379
2022-07-31,2022,7,31,port1201,Singapore,Singapore,SGP,38,51,119,563219,554523
2022-08-01,2022,8,1,port1201,Singapore,Singapore,SGP,37,53,136,972969,532100
